filer_cpf_id,year,total_expenditure
14258,2026,20418.59
14260,2023,5000.0
14260,2024,16124.62
14260,2025,17835.55
14265,2023,2984.87
14265,2024,10347.09
14265,2025,5139.28
14265,2026,2018.0
14315,2024,50.0
14329,2023,182985.77
14329,2024,1721.02
14329,2025,1017.44
14329,2026,546.84
14370,2023,307.8
14370,2024,4587.93
14371,2023,500.0
14371,2024,317.9
14371,2025,2445.4
14371,2026,481.0
14382,2024,68121.08
14382,2025,1334.5
14385,2023,85950.5
14385,2024,87363.04
14385,2025,99881.07
14385,2026,80508.97
14391,2023,100968.08
14391,2024,58735.0
14391,2025,64661.41
14391,2026,39636.74
14392,2023,22180.17
14392,2024,7263.3
14392,2025,13540.36
14392,2026,6161.11
14410,2023,5696.39
14410,2024,28506.22
14410,2025,2335.47
14415,2024,376.53
14418,2024,5327.93
14418,2025,10.0
14418,2026,210.87
14426,2023,4225.0
14426,2024,4081.87
14442,2023,250.0
14442,2025,200.0
14442,2026,278.0
14444,2023,900.0
14444,2024,1100.0
14444,2025,9000.0
14444,2026,625.5
14448,2023,5875.78
14454,2023,57596.73
14454,2024,60159.93
14454,2025,263401.75
14454,2026,537592.41
14464,2023,75898.42
14464,2024,12010.91
14464,2025,700.0
14464,2026,400.0
14466,2023,39198.94
14468,2023,2533.38
14468,2024,1042.02
14468,2025,591.41
14468,2026,11849.81
14482,2023,44141.48
14482,2024,6748.51
14482,2025,465.0
14482,2026,6700.0
14504,2025,5250.35
14504,2026,10374.3
14507,2023,650.0
14507,2024,800.0
14507,2025,900.0
14507,2026,434.0
14518,2023,4967.63
14518,2024,13936.03
14518,2025,5661.47
14518,2026,1645.12
14521,2023,3733.32
14521,2024,2705.93
14521,2025,5606.02
14521,2026,1191.37
14532,2023,21913.04
14532,2024,53174.96
14532,2025,25268.11
14532,2026,17032.26
14535,2024,12.45
14543,2023,5068.33
14543,2024,7599.97
14543,2025,4896.57
14543,2026,4034.25
14561,2023,3352.23
14561,2024,19566.51
14571,2023,3589.52
14571,2024,491.02
14571,2025,1226.28
14571,2026,137.76
14589,2023,5106.69
14589,2024,819.15
14589,2025,2533.76
14589,2026,745.0
14593,2023,3475.45
14593,2024,29787.19
14593,2025,768.31
14665,2023,66065.23
14665,2024,14498.76
14665,2025,74646.81
14665,2026,211.77
14667,2023,10315.94
14667,2024,300.0
14667,2025,11017.85
14668,2023,23508.91
14668,2024,24717.44
14668,2025,20643.36
14668,2026,109846.13
14680,2023,9111.58
14680,2024,44235.99
14680,2025,21442.45
14680,2026,20266.58
14681,2023,41820.77
14681,2024,28551.7
14681,2025,30476.89
14681,2026,26028.11
14683,2023,1055.3
14684,2023,260654.58
14684,2024,1710.13
14687,2023,43376.13
14687,2024,4299.95
14687,2025,62342.28
14687,2026,3750.34
14713,2023,29666.6
14713,2024,34190.27
14713,2025,26895.59
14713,2026,74845.94
14738,2023,8507.64
14738,2024,9059.31
14738,2025,11058.29
14738,2026,9128.36
14743,2023,1369.67
14743,2024,596.57
14743,2025,3167.0
14743,2026,4319.43
14757,2023,71409.07
14757,2024,101593.38
14757,2025,31178.84
14757,2026,12675.07
14762,2023,2901.48
14762,2024,516.95
14763,2023,10517.12
14763,2024,14565.18
14763,2025,19961.52
14763,2026,12364.82
14770,2023,46352.18
14770,2024,44328.73
14770,2025,40058.14
14770,2026,24171.86
14771,2023,207882.4
14771,2024,137203.01
14771,2025,395.63
14771,2026,251466.33
14776,2023,67033.36
14776,2024,60011.04
14776,2025,55329.41
14776,2026,57088.01
14781,2023,6092.75
14781,2024,2903.09
14781,2025,4533.73
14781,2026,394.38
14796,2023,31417.32
14796,2024,42370.01
14796,2025,25260.61
14796,2026,22502.38
14798,2023,22846.21
14798,2024,3627.37
14798,2025,2959.56
14798,2026,1682.0
14807,2023,103024.34
14807,2024,18515.49
14807,2025,11818.73
14807,2026,12392.23
14814,2023,39902.43
14814,2024,54938.98
14814,2025,47309.44
14814,2026,32685.52
14815,2023,1020.25
14815,2024,14588.72
14815,2025,1390.61
14815,2026,669.29
14816,2023,11028.25
14816,2024,2811.0
14816,2025,3961.0
14816,2026,300.0
14821,2023,6.0
14821,2024,69895.95
14821,2025,1965.51
14822,2023,24849.58
14822,2024,23127.17
14822,2025,14895.41
14822,2026,9965.07
14831,2023,1689.73
14831,2024,1181.18
14831,2025,1109.1
14831,2026,13028.61
14834,2024,15.0
14835,2023,10.0
14854,2023,3577.0
14854,2024,1190.0
14854,2025,3914.38
14854,2026,390.0
14860,2025,10053.61
14860,2026,15.0
14876,2024,3926.24
14876,2025,500.0
14877,2023,350.0
14877,2024,300.0
14877,2025,140.0
14881,2023,1356.13
14881,2024,356.3
14881,2025,7223.5
14885,2023,157.88
14885,2024,6059.45
14885,2025,30.98
14897,2023,122.63
14902,2023,326467.68
14902,2024,392059.36
14902,2025,410541.11
14902,2026,252175.27
14907,2023,18714.51
14907,2024,20226.34
14907,2025,8675.0
14907,2026,6.0
14926,2023,11017.45
14926,2024,4632.97
14926,2025,25940.26
14926,2026,4271.17
14934,2023,123356.16
14934,2024,24360.74
14934,2025,84902.89
14934,2026,25544.46
14955,2023,134133.75
14957,2023,5328.81
14957,2024,5462.16
14957,2025,3340.68
14957,2026,23413.92
14975,2023,31742.64
14975,2024,63550.56
14975,2025,57786.64
14975,2026,31597.67
14990,2023,1000.0
14990,2024,2200.0
15005,2023,22625.4
15005,2024,2564.47
15005,2025,51.41
15006,2023,39321.16
15006,2024,73115.91
15006,2025,53661.57
15006,2026,31974.02
15011,2023,117245.2
15011,2024,75016.24
15011,2025,26017.86
15011,2026,18741.98
15012,2023,21690.63
15012,2024,120960.02
15012,2025,10535.63
15012,2026,11989.6
15015,2023,17777.51
15015,2024,16117.24
15015,2025,64312.37
15017,2023,6792.92
15018,2023,419.28
15018,2024,419.45
15018,2025,7657.72
15018,2026,279.4
15019,2023,56354.56
15019,2024,2802.75
15019,2025,358.06
15021,2023,10336.78
15021,2024,10518.1
15021,2025,7191.98
15021,2026,4643.59
15025,2023,11176.54
15025,2024,37273.52
15025,2025,19850.6
15025,2026,7853.25
15031,2023,189293.49
15031,2024,113819.08
15031,2025,103693.2
