cmte_id,total_amount,total_count
C00235853,324.76,188
C00236414,1797.21,16
C00236489,22831.1,118
C00236760,250.0,1
C00238204,263517.0,166
C00238444,40289.5,99
C00238725,263118.69,19
C00238865,760986.3,484
C00238907,1033247.29,461
C00239038,330159.95,4
C00239780,501.88,11
C00239848,5347.9,19
C00239905,3634.37,2
C00240457,39.53,2
C00241083,23507.86,93
C00241380,7151.04,5
C00242024,2000.0,2
C00244335,86385.92,56
C00244533,2625.97,7
C00245548,9386.44,58
C00246306,21875.0,17
C00247262,3539.33,1
C00247403,428882.82,248
C00247981,299.93,19
C00248427,100.0,4
C00248658,5600.0,12
C00248690,465.64,2
C00248948,13579.89,15
C00249342,6792.08,8
C00249532,750.0,1
C00249995,1903.75,2
C00250399,1225660.36,729
C00250753,10322.94,83
C00250993,25519.88,25
C00251447,2823.7,31
C00251751,12500.0,1
C00252056,43725.02,15
C00252395,191436.69,63
C00252551,24802.22,131
C00252684,128.34,1
C00252825,6365.86,6
C00252940,31398.26,869
C00253187,1000.0,1
C00253260,163993.22,129
C00253294,1075349.0,687
C00254193,18495.65,10
C00254201,1194.46,20
C00254490,11270.7,15
C00254938,5049.66,14
C00255091,356.44,28
C00255562,926035.82,370
C00255695,1876177.04,1307
C00255752,136407.72,78
C00255976,29520.0,8
C00256453,15.0,1
C00256925,652006.67,384
C00257246,720.5,2
C00257279,44761.66,60
C00257329,183.91,5
C00257337,4472401.06,678
C00257642,1906909.35,1273
C00257956,40328.64,50
C00258475,44006.66,29
C00258855,30200.47,16
C00259143,100.0,1
C00259481,588461.11,118
C00261891,1283.32,3
C00263053,54074.29,43
C00264101,23110.6,23
C00264564,811858.93,46
C00264689,13640.57,8
C00264697,553065.47,263
C00265033,2937.28,18
C00265603,106604.07,13
C00266940,803008.64,375
C00267385,81274.31,37
C00267526,2250.0,5
C00267849,53331.0,3
C00269340,84265.17,17
C00269779,230.21,6
C00270934,173548.35,333
C00270967,406.25,9
C00271007,646.5,2
C00271312,236193.06,199
C00271338,4496172.59,707
C00272153,2516.32,1
C00272211,117227.25,87
C00272724,34371.57,28
C00274423,3309.0,79
C00274944,4478.05,21
C00275529,1869.41,6
C00276485,58.73,1
C00276659,28192.14,21
C00277152,285.08,1
C00277335,455879.21,330
C00277541,363080.44,389
C00278101,4369.22,106
C00278689,975.0,3
C00279182,4126.0,3
C00279216,1680.1,18
C00279380,70201.46,48
C00279455,4505.28,21
C00279737,2488.49,11
C00279802,64892.47,155
C00279828,9114.94,4
C00279851,933754.29,501
C00280222,189593.63,89
C00281162,8070.33,7
C00281212,951.6,14
C00281717,823.29,5
C00282327,2720.27,4
C00282343,20246.01,25
C00283135,10529.48,22
C00283440,9145.5,1
C00284810,2822.0,3
C00284885,252.65,12
C00285171,582262.42,340
C00285254,176669.6,29
C00285783,3260.0,2
C00286401,800.62,8
C00286500,168971.4,113
C00286880,7744.0,10
C00287714,1049.82,2
C00287904,26168.56,100
C00287912,935915.0,324
C00289058,1622.18,12
C00289603,903501.15,616
C00290304,1121.92,5
C00290825,304146.29,202
C00290866,220.0,1
C00290973,168.43,4
C00291914,11004.15,3
C00292318,50000.0,2
C00293910,11000.0,4
C00295527,10147.66,60
C00295964,55454.43,19
C00296640,428359.22,94
C00297531,11119.92,10
C00297630,3400.0,3
C00297671,6000.0,6
C00297739,9704.96,33
C00298000,396856.02,157
C00298190,1652.72,33
C00299321,121.0,2
C00299396,49782.63,23
