spender_id,total_amount,total_count
C00828343,500000.0,2
C00828533,4000000.0,2
C00829176,490.0,1
C00834077,1455.03,1
C90004185,90000.0,2
C90009358,874073.26,26
C90009994,171742.0,3
C90010620,1609765.65,13
C90010646,177225.0,22
C90011115,30670.21,5
C90011156,3108977.67,317
C90011172,1898301.52,58
C90011693,11000.0,2
C90011800,339185.66,16
C90011826,244664.82,331
C90011883,15000.0,1
C90011891,349789.01,2481
C90011974,97585.45,6
C90012071,34554.96,7
C90012691,13583.28,4
C90013228,6367.78,11
C90013897,1679.96,3
C90014028,149840.0,4
C90014101,40425.0,6
C90014275,63402.0,2
C90014507,1630815.72,31
C90014838,200000.0,10
C90014945,4950.0,1
C90015140,72500.0,7
C90015868,37204.16,9
C90016023,148198.35,19
C90016072,15528.42,6
C90016106,833735.47,14
C90016437,79961.54,2
C90016510,334606.17,19
C90016577,75551.88,7
C90016627,457885.95,296
C90016924,141795.0,5
C90016973,90728.8,106
C90017088,679491.96,42
C90017443,262420.76,42
C90017492,73718.6,11
C90017740,1600.0,2
C90017898,13829.57,32
C90017906,7750.0,1
C90017989,29042.0,9
C90017997,1441799.17,16
C90018003,43572.5,11
C90018045,80387.34,57
C90018169,299528.88,28
C90018227,361359.27,13
C90018243,65969.25,892
C90018300,44925.0,1
C90018359,14068.42,1
C90018367,601906.1,56
C90018383,72372.54,112
C90018417,4524.16,8
C90018573,282358.0,13
C90018698,491568.7,14
C90018904,1278806.77,499
C90019068,1349.32,3
C90019357,27389.16,105
C90019431,5070.0,1
C90019456,252203.1,12
C90019514,93770.96,41
C90019589,175798.2,4
C90019597,103834.08,6
C90019670,50000.0,4
C90019753,9219.31,6
C90019811,522417.0,1
C90019902,153466.93,23
C90019910,84870.51,10
C90020058,10000.0,1
C90020090,61898.1,33
C90020108,87698.0,34
C90020116,55338.98,59
C90020124,1857.87,2
C90020140,2050.0,3
C90020181,65513.7,2
C90020199,332750.08,288
C90020207,5150.0,6
C90020231,51826.97,56
C90020264,45113.32,111
C90020306,3780.0,34
C90020322,14291.78,8
C90020363,501.52,1
C90020421,25000.0,4
C90020454,55157.16,57
C90020660,26946.59,2
C90020793,1918.54,4
C90020876,603600.36,10
C90020884,172338.26,3
